Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
DT,Standard,[75. 21. 15.],[22. 18.  5.],[12. 21. 12.],[ 47.  96. 124.],0.6872191382489792,0.6392081736905176,0.6623447607437962,0.8076923076935899,0.8281683311744762,0.7115384615376479,0.7115384615376479,0.7115384615376479,0.8076923076915189,0.8557692307685466,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7059834990536745,0.7115384615379261,0.7087500959465417,0.7922830374766272,0.7729665319862293
DT,MinMax,[71. 20. 23.],[15. 17. 10.],[16. 22.  4.],[ 54.  97. 119.],0.6876972109523015,0.7147114273540324,0.7009441353993501,0.8205128205141026,0.8519888362625263,0.7307692307683432,0.7307692307683432,0.7307692307683432,0.8205128205119988,0.8653846153839126,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7265799097187567,0.730769230768405,0.7286685488962011,0.8063362919144971,0.8251972780197021
DT,Robust,[67. 18. 22.],[22. 19.  8.],[20. 24.  5.],[ 47.  95. 121.],0.6575429361939381,0.6711670619707887,0.6642851505813964,0.7905982905995728,0.8174924165818102,0.6858974358967209,0.6858974358967209,0.6858974358967209,0.7905982905975456,0.8429487179480584,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6777359900949743,0.6858974358967775,0.6817922895708168,0.7612179487192308,0.7665798138492157
DT,MaxAbs,[72. 22. 22.],[16. 20.  4.],[15. 20.  5.],[ 53.  94. 125.],0.729381729380563,0.7220701818392307,0.7257075400058262,0.8290598290611112,0.8538898645325664,0.7435897435888067,0.7435897435888067,0.7435897435888067,0.8290598290589855,0.8717948717941567,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7437690514604646,0.7435897435888895,0.743679386716487,0.8101577909283038,0.8180798500093167
DT,QT,[70. 25. 21.],[17. 18.  5.],[17. 17.  6.],[ 52.  96. 124.],0.7312284525584989,0.7258711913873622,0.7285399735568064,0.8290598290611112,0.8523229205463868,0.7435897435888067,0.7435897435888067,0.7435897435888067,0.8290598290589855,0.8717948717941567,[0.55769231 0.26923077 0.17307692],[87 42 27],0.745040365119964,0.7435897435888749,0.744314347562714,0.8058431952675542,0.8133790180507723
ETs,Normalizer,[75. 24. 21.],[17. 18.  1.],[12. 18.  6.],[ 52.  96. 128.],0.7803971390910721,0.7370917715734535,0.7581265414738297,0.8461538461551282,0.8626588378590324,0.7692307692297337,0.7692307692297337,0.7692307692297338,0.8461538461529587,0.8846153846146451,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7736964122821799,0.7692307692298573,0.7714571283746083,0.8264299802774163,0.8187457443477228
ETs,Standard,[75. 28. 21.],[11. 16.  5.],[12. 14.  6.],[ 58.  98. 124.],0.772049655769302,0.7688378033193342,0.7704403821239404,0.8632478632491455,0.8871563810090438,0.7948717948706607,0.7948717948706607,0.7948717948706607,0.863247863246932,0.8974358974351331,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7974811413977925,0.7948717948707609,0.7961743302008001,0.8537968441827416,0.8665973481568253
ETs,MinMax,[79. 32. 22.],[13.  8.  2.],[ 8. 10.  5.],[ 56. 106. 127.],0.858454106278276,0.8282551845755179,0.8430843039765492,0.9017094017106839,0.9086382961102196,0.8525641025627464,0.8525641025627464,0.8525641025627463,0.9017094017083719,0.9262820512812314,[0.55769231 0.26923077 0.17307692],[87 42 27],0.8529264214032426,0.85256410256284,0.852745223497063,0.8860946745574952,0.8733507857681279
ETs,Robust,[76. 21. 23.],[20. 12.  4.],[11. 21.  4.],[ 49. 102. 125.],0.7599607182927048,0.7418050234130638,0.7507731236242027,0.8461538461551282,0.8579580059004939,0.7692307692297337,0.7692307692297337,0.7692307692297338,0.8461538461529587,0.884615384614645,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7602709790199667,0.7692307692298392,0.7647246309902688,0.8233481262340238,0.8046432484720892
ETs,MaxAbs,[81. 22. 26.],[18.  7.  2.],[ 6. 20.  1.],[ 51. 107. 127.],0.8351246454676439,0.8059356565088579,0.8202705636119034,0.8846153846166667,0.887407683346491,0.8269230769218194,0.8269230769218194,0.8269230769218194,0.8846153846143986,0.9134615384607433,[0.55769231 0.26923077 0.17307692],[87 42 27],0.8212520238368622,0.8269230769219003,0.8240777938786678,0.864275147930276,0.835299973117886
ETs,QT,[73. 23. 22.],[15. 17.  6.],[14. 19.  5.],[ 54.  97. 123.],0.7300865800855251,0.733838107400213,0.7319575368162173,0.8376068376081198,0.8623247535751718,0.7564102564092702,0.7564102564092702,0.7564102564092702,0.8376068376059721,0.8782051282044009,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7534278221769503,0.756410256409357,0.7549160936415382,0.8219921104549309,0.8305640043166527
SGD,Normalizer,[6.2e+01 1.0e-10 2.2e+01],[3.0e+01 1.0e-10 4.2e+01],[25. 42.  5.],[ 39. 114.  87.],0.505887681159457,0.5091528309917649,0.5075150044608726,0.6923076923089745,0.7465453319847247,0.5384615384613906,0.5384615384613906,0.5384615384613906,0.6923076923071992,0.7692307692302515,[0.55769231 0.26923077 0.17307692],[87 42 27],0.5699466973242884,0.5384615384615032,0.5537569382362452,0.6787475345180474,0.7011744574935839
SGD,Standard,[71. 13. 16.],[26. 20. 10.],[16. 29. 11.],[ 43.  94. 119.],0.5804275907366282,0.5727361187129617,0.5765562040988664,0.7606837606850428,0.7900768098197769,0.6410256410250986,0.6410256410250986,0.6410256410250986,0.7606837606830924,0.8205128205122041,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6207772534098372,0.6410256410253613,0.6307389823814363,0.7419871794884616,0.7292047884348054
SGD,MinMax,[67. 31. 16.],[1.1e+01 3.1e+01 1.0e-10],[20. 11. 11.],[ 58.  83. 129.],0.7863247863223961,0.7002675910713753,0.7408053105761948,0.8205128205141026,0.8562166285271205,0.7307692307683432,0.7307692307683432,0.7307692307683432,0.8205128205119988,0.8653846153839129,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7867357001956437,0.7307692307684606,0.757720427418705,0.8044871794884616,0.8378806548135008
SGD,Robust,[65. 19. 10.],[37. 22.  3.],[22. 23. 17.],[ 32.  92. 126.],0.6233001017778874,0.5232925865111836,0.5689349422221387,0.7350427350440172,0.749176615282339,0.6025641025637081,0.6025641025637081,0.6025641025637081,0.7350427350421325,0.8012820512814719,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6132937299604974,0.6025641025640129,0.6078815731843936,0.6892258382655818,0.6449657432838728
SGD,MaxAbs,[69. 35. 13.],[7.0e+00 3.2e+01 1.0e-10],[18.  7. 14.],[ 62.  82. 129.],0.8100942655115885,0.7026394210295176,0.7525503937178669,0.8333333333346155,0.8726163234164671,0.7499999999990384,0.7499999999990384,0.7499999999990385,0.8333333333324786,0.8749999999992789,[0.55769231 0.26923077 0.17307692],[87 42 27],0.820045773156551,0.7499999999992206,0.7834603810697355,0.8277859960565089,0.8678489702508343
SGD,QT,[80. 24. 12.],[22. 17.  1.],[ 7. 18. 15.],[ 47.  97. 128.],0.7642521674060577,0.6451377485857268,0.6996614876233868,0.829059829061111,0.8414282250953038,0.7435897435888067,0.7435897435888067,0.7435897435888067,0.8290598290589855,0.8717948717941569,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7547675441932102,0.7435897435891854,0.749136950488909,0.8181706114411244,0.7806949316974808
