Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
ETs,MaxAbs,RFE,50,SMOTE,149.0000000001,22.0000000001,37.0000000001,30.0000000001,0.8713450292393318,0.8010752688168806,0.8347338935570479,0.7521008403369747,0.5769230769227811,0.7672356217746031,0.8713450292393318,0.8010752688168806,0.8347338935570479,0.7521008403357108,0.5769230769227811,0.7672356217743503,[0.21848739 0.78151261],[ 52 186],0.8713450292393318,0.8010752688168807,0.8347338935570481,0.7521008403369747,0.5769230769227811,0.7672356217746031
ETs,MaxAbs,RFE,90,SMOTE,155.0000000001,26.0000000001,31.0000000001,26.0000000001,0.8563535911598272,0.833333333332975,0.8446866485009866,0.7605042016815124,0.5,0.7589755549350603,0.8563535911598272,0.833333333332975,0.8446866485009866,0.7605042016802345,0.5,0.7589755549348046,[0.21848739 0.78151261],[ 52 186],0.8563535911598272,0.833333333332975,0.8446866485009866,0.7605042016815124,0.5,0.7589755549350603
ETs,MaxAbs,RFE,50,SMOTE,149.0000000001,28.0000000001,37.0000000001,24.0000000001,0.8418079096041337,0.8010752688168806,0.8209366391181037,0.7268907563033612,0.46153846153860945,0.7304498070762178,0.8418079096041337,0.8010752688168806,0.8209366391181037,0.7268907563021397,0.46153846153860945,0.7304498070759735,[0.21848739 0.78151261],[ 52 186],0.8418079096041337,0.8010752688168807,0.8209366391181039,0.7268907563033612,0.46153846153860945,0.7304498070762178
ETs,MaxAbs,RFE,50,SMOTE,146.0000000001,26.0000000001,40.0000000001,26.0000000001,0.84883720930192,0.7849462365588334,0.815642458100206,0.7226890756310923,0.5,0.7344229959184103,0.84883720930192,0.7849462365588334,0.815642458100206,0.7226890756298778,0.5,0.7344229959181674,[0.21848739 0.78151261],[ 52 186],0.84883720930192,0.7849462365588334,0.815642458100206,0.7226890756310923,0.5,0.7344229959184103
ETs,MaxAbs,RFE,50,SMOTE,155.0000000001,19.0000000001,31.0000000001,33.0000000001,0.8908045977007003,0.833333333332975,0.8611111111107099,0.7899159663873948,0.6346153846148669,0.8019560786293294,0.8908045977007003,0.833333333332975,0.8611111111107099,0.7899159663860674,0.6346153846148669,0.8019560786290638,[0.21848739 0.78151261],[ 52 186],0.8908045977007002,0.833333333332975,0.8611111111107098,0.7899159663873948,0.6346153846148669,0.8019560786293294
ETs,MaxAbs,RFE,50,SMOTE,145.0000000001,16.0000000001,41.0000000001,36.0000000001,0.9006211180119248,0.7795698924728177,0.8357348703166159,0.7605042016815124,0.6923076923069527,0.7937475549579647,0.9006211180119248,0.7795698924728177,0.8357348703166159,0.7605042016802345,0.6923076923069527,0.7937475549577091,[0.21848739 0.78151261],[ 52 186],0.9006211180119248,0.7795698924728177,0.8357348703166159,0.7605042016815124,0.6923076923069527,0.7937475549579647
ETs,MaxAbs,RFE,40,BorderlineSMOTE,156.0000000001,23.0000000001,30.0000000001,29.0000000001,0.8715083798878531,0.8387096774189907,0.8547945205475564,0.7773109243705881,0.5576923076920858,0.7800031619834148,0.8715083798878531,0.8387096774189907,0.8547945205475564,0.7773109243692818,0.5576923076920858,0.7800031619831536,[0.21848739 0.78151261],[ 52 186],0.8715083798878531,0.8387096774189907,0.8547945205475564,0.7773109243705881,0.5576923076920858,0.7800031619834148
ETs,MaxAbs,RFE,20,BorderlineSMOTE,136.0000000001,24.0000000001,50.0000000001,28.0000000001,0.8499999999995625,0.7311827956986762,0.786127167629727,0.689075630252941,0.5384615384613906,0.7189694264084594,0.8499999999995625,0.7311827956986762,0.786127167629727,0.6890756302517831,0.5384615384613906,0.7189694264082278,[0.21848739 0.78151261],[ 52 186],0.8499999999995625,0.7311827956986763,0.786127167629727,0.689075630252941,0.5384615384613906,0.7189694264084594
MLP,MaxAbs,RFE,20,BorderlineSMOTE,131.0000000001,16.0000000001,55.0000000001,36.0000000001,0.8911564625845019,0.7043010752685975,0.7867867867864422,0.7016806722697478,0.6923076923069527,0.7552465378432485,0.8911564625845019,0.7043010752685975,0.7867867867864422,0.7016806722685687,0.6923076923069527,0.7552465378430127,[0.21848739 0.78151261],[ 52 186],0.8911564625845019,0.7043010752685975,0.7867867867864422,0.7016806722697478,0.6923076923069527,0.7552465378432485
RF,Standard,ANOVA,40,,170.0000000001,36.0000000001,16.0000000001,16.0000000001,0.8252427184462862,0.9139784946232108,0.8673469387751355,0.781512605042857,0.3076923076930473,0.7391546129161073,0.8252427184462862,0.9139784946232108,0.8673469387751355,0.7815126050415437,0.3076923076930473,0.7391546129158446,[0.21848739 0.78151261],[ 52 186],0.8252427184462862,0.9139784946232108,0.8673469387751355,0.781512605042857,0.3076923076930473,0.7391546129161073
MLP,MaxAbs,RFE,20,BorderlineSMOTE,121.0000000001,6.0000000001,65.0000000001,46.0000000001,0.952755905511098,0.6505376344084403,0.7731629392967755,0.701680672269748,0.8846153846139053,0.7925505072199934,0.952755905511098,0.6505376344084403,0.7731629392967755,0.7016806722685686,0.8846153846139053,0.7925505072197575,[0.21848739 0.78151261],[ 52 186],0.952755905511098,0.6505376344084403,0.7731629392967755,0.701680672269748,0.8846153846139053,0.7925505072199934
RF,Standard,ANOVA,40,,169.0000000001,28.0000000001,17.0000000001,24.0000000001,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697473767,0.46153846153860945,0.7842879059084262,[0.21848739 0.78151261],[ 52 186],0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987
MLP,MaxAbs,RFE,20,BorderlineSMOTE,116.0000000001,14.0000000001,70.0000000001,38.0000000001,0.8923076923070887,0.6236559139783616,0.734177215189577,0.6470588235302521,0.7307692307683432,0.7255937751547246,0.8923076923070887,0.6236559139783616,0.734177215189577,0.6470588235291646,0.7307692307683432,0.725593775154507,[0.21848739 0.78151261],[ 52 186],0.8923076923070887,0.6236559139783616,0.734177215189577,0.6470588235302521,0.7307692307683433,0.7255937751547247
RF,MaxAbs,RFE,40,,165.0000000001,26.0000000001,21.0000000001,26.0000000001,0.8638743455493573,0.8870967741931322,0.8753315649863391,0.8025210084042016,0.5,0.7857647386266061,0.8638743455493573,0.8870967741931322,0.8753315649863391,0.802521008402853,0.5,0.7857647386263363,[0.21848739 0.78151261],[ 52 186],0.8638743455493573,0.8870967741931322,0.8753315649863391,0.8025210084042016,0.5,0.7857647386266061
RF,MaxAbs,RFE,40,,174.0000000001,26.0000000001,12.0000000001,26.0000000001,0.8699999999996301,0.9354838709672737,0.9015544041446617,0.8403361344546217,0.5,0.8094748819132374,0.8699999999996301,0.9354838709672737,0.9015544041446617,0.8403361344532095,0.5,0.8094748819129549,[0.21848739 0.78151261],[ 52 186],0.8699999999996301,0.9354838709672737,0.9015544041446617,0.8403361344546217,0.5,0.8094748819132374
ETs,MaxAbs,RFE,20,BorderlineSMOTE,135.0000000001,19.0000000001,51.0000000001,33.0000000001,0.8766233766228876,0.7258064516126604,0.7941176470584775,0.7058823529420167,0.6346153846148669,0.7474090425701818,0.8766233766228876,0.7258064516126604,0.7941176470584775,0.7058823529408305,0.6346153846148669,0.7474090425699444,[0.21848739 0.78151261],[ 52 186],0.8766233766228876,0.7258064516126604,0.7941176470584775,0.7058823529420167,0.6346153846148669,0.7474090425701818
MLP,MaxAbs,RFE,20,BorderlineSMOTE,125.0000000001,13.0000000001,61.0000000001,39.0000000001,0.9057971014486872,0.6720430107525032,0.7716049382712696,0.6890756302529412,0.7499999999990384,0.757704136144888,0.9057971014486872,0.6720430107525032,0.7716049382712696,0.6890756302517831,0.7499999999990384,0.7577041361446563,[0.21848739 0.78151261],[ 52 186],0.9057971014486872,0.6720430107525033,0.7716049382712696,0.6890756302529412,0.7499999999990384,0.757704136144888
RF,MaxAbs,RFE,40,,174.0000000001,29.0000000001,12.0000000001,23.0000000001,0.8571428571425054,0.9354838709672737,0.8946015424160467,0.8277310924378151,0.4423076923079142,0.791453411054311,0.8571428571425054,0.9354838709672737,0.8946015424160467,0.8277310924364241,0.4423076923079142,0.7914534110540328,[0.21848739 0.78151261],[ 52 186],0.8571428571425054,0.9354838709672737,0.8946015424160467,0.8277310924378151,0.4423076923079142,0.791453411054311
