number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
67,0.7845927272467804,2025-03-18 12:12:18.309621,2025-03-18 12:13:33.701006,0 days 00:01:15.391385,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
68,0.8021447932435777,2025-03-18 12:12:22.440701,2025-03-18 12:13:39.604219,0 days 00:01:17.163518,60,,RF,SVMSMOTE,MaxAbs,COMPLETE
69,0.773152120203847,2025-03-18 12:12:26.414963,2025-03-18 12:13:23.099377,0 days 00:00:56.684414,60,,RF,SVMSMOTE,MaxAbs,COMPLETE
70,0.0,2025-03-18 12:12:27.908605,2025-03-18 12:13:04.341281,0 days 00:00:36.432676,80,LDA,RF,SVMSMOTE,MaxAbs,COMPLETE
71,0.7717188231123213,2025-03-18 12:12:30.170307,2025-03-18 12:13:35.553570,0 days 00:01:05.383263,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
72,0.7907101240982854,2025-03-18 12:12:31.599936,2025-03-18 12:13:06.715380,0 days 00:00:35.115444,20,,RF,SVMSMOTE,MaxAbs,COMPLETE
73,0.7706992146184636,2025-03-18 12:12:32.887340,2025-03-18 12:13:25.441255,0 days 00:00:52.553915,60,PCA,RF,SVMSMOTE,Robust,COMPLETE
74,0.8116962905485717,2025-03-18 12:12:35.896091,2025-03-18 12:13:20.303257,0 days 00:00:44.407166,60,,RF,SVMSMOTE,MaxAbs,COMPLETE
75,0.787669526457288,2025-03-18 12:12:37.844573,2025-03-18 12:13:26.525168,0 days 00:00:48.680595,80,PCA,RF,SVMSMOTE,MaxAbs,COMPLETE
76,0.7861385421817386,2025-03-18 12:12:39.038775,2025-03-18 12:13:20.774971,0 days 00:00:41.736196,60,,RF,SVMSMOTE,MaxAbs,COMPLETE
77,0.792595804993259,2025-03-18 12:12:39.949480,2025-03-18 12:13:23.099377,0 days 00:00:43.149897,60,,RF,SVMSMOTE,Robust,COMPLETE
78,0.8021447932435777,2025-03-18 12:12:40.655989,2025-03-18 12:13:27.749521,0 days 00:00:47.093532,80,PCA,RF,SMOTE,Robust,COMPLETE
79,0.7907101240982854,2025-03-18 12:12:42.443077,2025-03-18 12:13:10.720445,0 days 00:00:28.277368,60,,RF,SVMSMOTE,Robust,COMPLETE
80,0.739132259753289,2025-03-18 12:12:43.753645,2025-03-18 12:14:03.330066,0 days 00:01:19.576421,80,,SGD,SMOTE,MaxAbs,COMPLETE
81,0.7542648977980908,2025-03-18 12:12:44.711513,2025-03-18 12:13:24.481384,0 days 00:00:39.769871,60,PCA,RF,SVMSMOTE,Robust,COMPLETE
82,0.7869214710676131,2025-03-18 12:12:44.949548,2025-03-18 12:13:25.975689,0 days 00:00:41.026141,60,PCA,RF,SVMSMOTE,Robust,COMPLETE
83,0.7738812285276035,2025-03-18 12:12:45.607287,2025-03-18 12:13:26.289649,0 days 00:00:40.682362,80,PCA,RF,SMOTE,Robust,COMPLETE
84,0.7121349032800659,2025-03-18 12:12:45.984414,2025-03-18 12:13:34.109211,0 days 00:00:48.124797,50,RFE,SGD,SMOTE,MaxAbs,COMPLETE
85,0.8188278041166777,2025-03-18 12:12:46.722675,2025-03-18 12:13:44.157449,0 days 00:00:57.434774,50,RFE,SGD,SMOTE,MaxAbs,COMPLETE
86,0.780891147825351,2025-03-18 12:12:47.304082,2025-03-18 12:13:34.894200,0 days 00:00:47.590118,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
87,0.749037116471569,2025-03-18 12:12:48.420041,2025-03-18 12:13:35.990018,0 days 00:00:47.569977,60,PCA,SGD,SMOTE,Robust,COMPLETE
88,0.7738812285276035,2025-03-18 12:12:47.319706,2025-03-18 12:13:56.182235,0 days 00:01:08.862529,80,,DT,SVMSMOTE,Robust,COMPLETE
89,0.78481627506094,2025-03-18 12:12:48.781727,2025-03-18 12:13:32.004374,0 days 00:00:43.222647,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
90,0.8063552163891634,2025-03-18 12:12:49.771541,2025-03-18 12:13:44.507926,0 days 00:00:54.736385,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
91,0.795591590221368,2025-03-18 12:12:52.441264,2025-03-18 12:13:54.785022,0 days 00:01:02.343758,50,RFE,SGD,SMOTE,MaxAbs,COMPLETE
92,0.8143628325094923,2025-03-18 12:12:53.855490,2025-03-18 12:13:49.301471,0 days 00:00:55.445981,80,,SGD,SMOTE,MaxAbs,COMPLETE
93,0.8108187099600439,2025-03-18 12:12:57.263211,2025-03-18 12:13:51.156529,0 days 00:00:53.893318,80,PCA,SGD,SMOTE,MaxAbs,COMPLETE
94,0.8090248192842948,2025-03-18 12:13:00.319119,2025-03-18 12:13:51.376072,0 days 00:00:51.056953,80,Chi2,SGD,SMOTE,MinMax,COMPLETE
95,0.7801282020794545,2025-03-18 12:13:01.230492,2025-03-18 12:13:35.349518,0 days 00:00:34.119026,50,PCA,SGD,SMOTE,MaxAbs,COMPLETE
96,0.8389273033342306,2025-03-18 12:13:01.685926,2025-03-18 12:13:40.875819,0 days 00:00:39.189893,50,RFE,SGD,SMOTE,MaxAbs,COMPLETE
97,0.7804457857694367,2025-03-18 12:13:02.832150,2025-03-18 12:13:55.946667,0 days 00:00:53.114517,80,,RF,SMOTE,Robust,COMPLETE
98,0.7734910706557497,2025-03-18 12:13:04.073970,2025-03-18 12:13:51.831862,0 days 00:00:47.757892,80,Chi2,SGD,SMOTE,MinMax,COMPLETE
99,0.783924905627504,2025-03-18 12:13:05.157429,2025-03-18 12:14:01.287719,0 days 00:00:56.130290,80,,KNN,SVMSMOTE,Normalizer,COMPLETE
100,0.7645140141537929,2025-03-18 12:13:07.044928,2025-03-18 12:13:46.561248,0 days 00:00:39.516320,80,PCA,RF,SMOTE,Robust,COMPLETE
101,0.7831145936235762,2025-03-18 12:13:07.783108,2025-03-18 12:13:57.563948,0 days 00:00:49.780840,30,,DT,SVMSMOTE,MinMax,COMPLETE
102,0.7663656435194147,2025-03-18 12:13:09.369274,2025-03-18 12:14:10.233837,0 days 00:01:00.864563,30,Chi2,SGD,SMOTE,MinMax,COMPLETE
103,0.8505255922150982,2025-03-18 12:13:09.573479,2025-03-18 12:14:00.346233,0 days 00:00:50.772754,30,,SGD,SMOTE,MaxAbs,COMPLETE
