number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
94,0.7355315004924956,2025-03-18 11:57:07.240715,2025-03-18 11:57:57.274948,0 days 00:00:50.034233,90,Chi2,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
95,0.0,2025-03-18 11:57:08.475365,2025-03-18 11:57:58.819592,0 days 00:00:50.344227,100,Chi2,MLP,ADASYN,MaxAbs,COMPLETE
96,0.34369747899170267,2025-03-18 11:57:08.993807,2025-03-18 11:58:19.363058,0 days 00:01:10.369251,50,,MLP,BorderlineSMOTE,Normalizer,COMPLETE
97,0.0,2025-03-18 11:57:09.420513,2025-03-18 11:58:13.729260,0 days 00:01:04.308747,90,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
98,0.0,2025-03-18 11:57:10.630601,2025-03-18 11:58:12.737212,0 days 00:01:02.106611,50,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
99,0.0,2025-03-18 11:57:12.180476,2025-03-18 11:57:53.631055,0 days 00:00:41.450579,10,Chi2,MLP,SVMSMOTE,Robust,COMPLETE
100,0.0,2025-03-18 11:57:13.070727,2025-03-18 11:58:20.959868,0 days 00:01:07.889141,30,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
101,0.7633117303914927,2025-03-18 11:57:23.327115,2025-03-18 11:58:17.664138,0 days 00:00:54.337023,90,Chi2,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
102,0.0,2025-03-18 11:57:28.544314,2025-03-18 11:58:14.825386,0 days 00:00:46.281072,30,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
103,0.0,2025-03-18 11:57:32.448102,2025-03-18 11:58:10.337287,0 days 00:00:37.889185,100,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
104,0.0,2025-03-18 11:57:34.695925,2025-03-18 11:58:18.858969,0 days 00:00:44.163044,30,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
105,0.7630767459411997,2025-03-18 11:57:35.704729,2025-03-18 11:58:54.969539,0 days 00:01:19.264810,10,,RF,SVMSMOTE,Robust,COMPLETE
106,0.0,2025-03-18 11:57:39.688861,2025-03-18 11:58:13.921248,0 days 00:00:34.232387,100,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
107,0.7501317829566003,2025-03-18 11:57:44.617850,2025-03-18 11:58:32.330989,0 days 00:00:47.713139,10,,AB,SVMSMOTE,Robust,COMPLETE
108,0.0,2025-03-18 11:57:46.038828,2025-03-18 11:58:12.533216,0 days 00:00:26.494388,50,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
109,0.7540540701656445,2025-03-18 11:57:46.549128,2025-03-18 11:58:57.171110,0 days 00:01:10.621982,10,,AB,BorderlineSMOTE,Robust,COMPLETE
110,0.0,2025-03-18 11:57:47.912414,2025-03-18 11:58:13.721244,0 days 00:00:25.808830,30,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
111,0.7298507174364943,2025-03-18 11:57:49.280903,2025-03-18 11:59:01.650847,0 days 00:01:12.369944,40,MI,DT,SVMSMOTE,QT,COMPLETE
112,0.0,2025-03-18 11:57:50.205054,2025-03-18 11:58:29.070717,0 days 00:00:38.865663,30,RF,MLP,BorderlineSMOTE,Normalizer,COMPLETE
113,0.739025017928366,2025-03-18 11:57:50.725539,2025-03-18 11:58:23.172517,0 days 00:00:32.446978,90,ANOVA,AB,BorderlineSMOTE,Robust,COMPLETE
114,0.34369747899170267,2025-03-18 11:57:51.040917,2025-03-18 11:58:18.317687,0 days 00:00:27.276770,30,,MLP,BorderlineSMOTE,Normalizer,COMPLETE
115,0.7772185446937507,2025-03-18 11:57:53.481150,2025-03-18 11:58:22.716846,0 days 00:00:29.235696,30,,MLP,BorderlineSMOTE,Robust,COMPLETE
