Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
AB,QT,ANOVA,90,,166.0000000001,39.0000000001,10.0000000001,9.0000000001,0.8097560975606735,0.9431818181813146,0.8713910761150957,0.7812500000008927,0.18750000000130207,0.7186157983718557,0.8097560975606735,0.9431818181813146,0.8713910761150957,0.7812499999994978,0.18750000000130207,0.7186157983715767,[0.21428571 0.78571429],[ 48 176],0.8097560975606735,0.9431818181813146,0.8713910761150957,0.7812500000008927,0.18750000000130207,0.7186157983718557
MLP,QT,,60,SMOTE,107.0000000001,15.0000000001,69.0000000001,33.0000000001,0.8770491803272508,0.6079545454544227,0.7181208053688347,0.6250000000008928,0.6874999999992187,0.7031249062301239,0.8770491803272508,0.6079545454544227,0.7181208053688347,0.6249999999997767,0.6874999999992187,0.7031249062299008,[0.21428571 0.78571429],[ 48 176],0.8770491803272507,0.6079545454544227,0.7181208053688348,0.6250000000008928,0.6874999999992187,0.7031249062301239
MLP,QT,,60,SMOTE,125.0000000001,28.0000000001,51.0000000001,20.0000000001,0.8169934640518732,0.7102272727270338,0.7598784194525716,0.6473214285723214,0.4166666666670139,0.6702174502941628,0.8169934640518732,0.7102272727270338,0.7598784194525716,0.6473214285711655,0.4166666666670139,0.6702174502939316,[0.21428571 0.78571429],[ 48 176],0.8169934640518732,0.7102272727270338,0.7598784194525716,0.6473214285723214,0.4166666666670139,0.6702174502941628
MLP,QT,,60,SMOTE,96.0000000001,14.0000000001,80.0000000001,34.0000000001,0.872727272726595,0.5454545454544938,0.6713286713284317,0.5803571428580357,0.7083333333324653,0.6756401931400043,0.872727272726595,0.5454545454544938,0.6713286713284317,0.5803571428569994,0.7083333333324653,0.6756401931397971,[0.21428571 0.78571429],[ 48 176],0.872727272726595,0.5454545454544938,0.6713286713284317,0.5803571428580357,0.7083333333324652,0.6756401931400043
AB,QT,,10,SMOTE,145.0000000001,22.0000000001,31.0000000001,26.0000000001,0.8682634730534512,0.8238636363632684,0.8454810495622793,0.7633928571437499,0.5416666666664931,0.7685335365578483,0.8682634730534512,0.8238636363632684,0.8454810495622793,0.7633928571423868,0.5416666666664931,0.7685335365575758,[0.21428571 0.78571429],[ 48 176],0.8682634730534512,0.8238636363632684,0.8454810495622793,0.7633928571437499,0.5416666666664931,0.7685335365578483
MLP,QT,,60,SMOTE,114.0000000001,14.0000000001,62.0000000001,34.0000000001,0.8906249999993896,0.6477272727271048,0.749999999999671,0.6607142857151785,0.7083333333324653,0.7314799783547619,0.8906249999993896,0.6477272727271048,0.749999999999671,0.6607142857139987,0.7083333333324653,0.7314799783545258,[0.21428571 0.78571429],[ 48 176],0.8906249999993896,0.6477272727271048,0.749999999999671,0.6607142857151785,0.7083333333324652,0.7314799783547619
AB,MinMax,,10,SMOTE,115.0000000001,16.0000000001,61.0000000001,32.0000000001,0.8778625954192705,0.6534090909089165,0.7491856677521183,0.6562500000008928,0.6666666666659722,0.7206748041494342,0.8778625954192705,0.6534090909089165,0.7491856677521183,0.656249999999721,0.6666666666659722,0.7206748041491997,[0.21428571 0.78571429],[ 48 176],0.8778625954192704,0.6534090909089165,0.7491856677521183,0.6562500000008928,0.6666666666659722,0.7206748041494342
AB,Standard,,10,ADASYN,109.0000000001,16.0000000001,67.0000000001,32.0000000001,0.8719999999994048,0.6193181818180462,0.7242524916940541,0.6294642857151785,0.6666666666659722,0.7023403251785313,0.8719999999994048,0.6193181818180462,0.7242524916940541,0.6294642857140545,0.6666666666659722,0.7023403251783064,[0.21428571 0.78571429],[ 48 176],0.8719999999994047,0.6193181818180462,0.7242524916940541,0.6294642857151785,0.6666666666659722,0.7023403251785313
