Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
DT,Normalizer,153.0000000001,29.0000000001,33.0000000001,23.0000000001,0.8406593406589663,0.8225806451609435,0.8315217391300745,0.739495798320168,0.4423076923079142,0.7353130431156133,0.8406593406589663,0.8225806451609435,0.8315217391300745,0.7394957983189253,0.4423076923079142,0.7353130431153648,[0.21848739 0.78151261],[ 52 186],0.8406593406589664,0.8225806451609434,0.8315217391300745,0.739495798320168,0.4423076923079142,0.7353130431156133
DT,Standard,143.0000000001,35.0000000001,43.0000000001,17.0000000001,0.8033707865165131,0.7688172043007863,0.7857142857139717,0.6722689075638655,0.32692307692374256,0.6714188522037758,0.8033707865165131,0.7688172043007863,0.7857142857139717,0.6722689075627357,0.32692307692374256,0.6714188522035499,[0.21848739 0.78151261],[ 52 186],0.8033707865165131,0.7688172043007863,0.7857142857139717,0.6722689075638655,0.32692307692374256,0.6714188522037758
DT,MinMax,139.0000000001,36.0000000001,47.0000000001,16.0000000001,0.794285714285378,0.7473118279567234,0.7700831024927756,0.6512605042025209,0.3076923076930473,0.654126691326089,0.794285714285378,0.7473118279567234,0.7700831024927756,0.6512605042014264,0.3076923076930473,0.6541266913258702,[0.21848739 0.78151261],[ 52 186],0.794285714285378,0.7473118279567234,0.7700831024927756,0.6512605042025209,0.3076923076930473,0.654126691326089
DT,Robust,158.0000000001,30.0000000001,28.0000000001,22.0000000001,0.8404255319145315,0.8494623655910222,0.8449197860958879,0.7563025210092436,0.42307692307721895,0.7428374255375808,0.8404255319145315,0.8494623655910222,0.8449197860958879,0.7563025210079727,0.42307692307721895,0.7428374255373267,[0.21848739 0.78151261],[ 52 186],0.8404255319145315,0.8494623655910222,0.8449197860958879,0.7563025210092436,0.423076923077219,0.7428374255375808
DT,MaxAbs,147.0000000001,31.0000000001,39.0000000001,21.0000000001,0.8258426966288475,0.7903225806448492,0.8076923076919698,0.7058823529420167,0.40384615384652367,0.7067172183508413,0.8258426966288475,0.7903225806448492,0.8076923076919698,0.7058823529408305,0.40384615384652367,0.706717218350604,[0.21848739 0.78151261],[ 52 186],0.8258426966288475,0.7903225806448492,0.8076923076919698,0.7058823529420167,0.40384615384652367,0.7067172183508413
DT,QT,152.0000000001,23.0000000001,34.0000000001,29.0000000001,0.8685714285710074,0.8172043010749278,0.8421052631575158,0.7605042016815124,0.5576923076920858,0.7692155004354099,0.8685714285710074,0.8172043010749278,0.8421052631575158,0.7605042016802345,0.5576923076920858,0.7692155004351543,[0.21848739 0.78151261],[ 52 186],0.8685714285710074,0.8172043010749278,0.8421052631575158,0.7605042016815124,0.5576923076920858,0.7692155004354099
ETs,Normalizer,171.0000000001,35.0000000001,15.0000000001,17.0000000001,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663860674,0.32692307692374256,0.7477479897977627,[0.21848739 0.78151261],[ 52 186],0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281
ETs,Standard,162.0000000001,39.0000000001,24.0000000001,13.0000000001,0.8059701492534269,0.8709677419350851,0.8372093023252329,0.7352941176478991,0.2500000000009615,0.6998882622325211,0.8059701492534269,0.8709677419350851,0.8372093023252329,0.7352941176466634,0.2500000000009615,0.699888262232274,[0.21848739 0.78151261],[ 52 186],0.8059701492534269,0.8709677419350852,0.837209302325233,0.7352941176478991,0.2500000000009615,0.6998882622325211
ETs,MinMax,169.0000000001,40.0000000001,17.0000000001,12.0000000001,0.8086124401910922,0.9086021505371951,0.8556962025312853,0.7605042016815124,0.23076923077026626,0.7128368451422704,0.8086124401910922,0.9086021505371951,0.8556962025312853,0.7605042016802345,0.23076923077026626,0.7128368451420147,[0.21848739 0.78151261],[ 52 186],0.8086124401910921,0.9086021505371951,0.8556962025312853,0.7605042016815124,0.23076923077026626,0.7128368451422703
ETs,Robust,166.0000000001,39.0000000001,20.0000000001,13.0000000001,0.8097560975606735,0.8924731182791479,0.8491048593346812,0.7521008403369747,0.2500000000009615,0.7106869831024877,0.8097560975606735,0.8924731182791479,0.8491048593346812,0.7521008403357108,0.2500000000009615,0.7106869831022349,[0.21848739 0.78151261],[ 52 186],0.8097560975606735,0.8924731182791479,0.8491048593346812,0.7521008403369747,0.2500000000009615,0.7106869831024877
ETs,MaxAbs,172.0000000001,36.0000000001,14.0000000001,16.0000000001,0.8269230769227626,0.9247311827952422,0.873096446700129,0.7899159663873948,0.3076923076930473,0.7444717960997151,0.8269230769227626,0.9247311827952422,0.873096446700129,0.7899159663860674,0.3076923076930473,0.7444717960994496,[0.21848739 0.78151261],[ 52 186],0.8269230769227626,0.9247311827952422,0.873096446700129,0.7899159663873948,0.3076923076930473,0.7444717960997151
ETs,QT,173.0000000001,40.0000000001,13.0000000001,12.0000000001,0.8122065727696599,0.930107526881258,0.8671679197991308,0.7773109243705881,0.23076923077026626,0.7235124349181806,0.8122065727696599,0.930107526881258,0.8671679197991308,0.7773109243692818,0.23076923077026626,0.7235124349179194,[0.21848739 0.78151261],[ 52 186],0.8122065727696599,0.930107526881258,0.8671679197991308,0.7773109243705881,0.23076923077026626,0.7235124349181806
SGD,Normalizer,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
SGD,Standard,183.0000000001,48.0000000001,3.0000000001,4.0000000001,0.7922077922075392,0.9838709677414152,0.8776978417262564,0.7857142857151259,0.07692307692470414,0.7032827928630081,0.7922077922075392,0.9838709677414152,0.8776978417262564,0.7857142857138055,0.07692307692470414,0.7032827928627441,[0.21848739 0.78151261],[ 52 186],0.7922077922075392,0.9838709677414152,0.8776978417262564,0.7857142857151259,0.07692307692470414,0.7032827928630081
SGD,MinMax,186.0000000001,49.0000000001,1e-10,3.0000000001,0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470596638,0.05769230769400887,0.7053819535522128,0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470583293,0.05769230769400887,0.7053819535519458,[0.21848739 0.78151261],[ 52 186],0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470596638,0.05769230769400887,0.7053819535522128
SGD,Robust,147.0000000001,36.0000000001,39.0000000001,16.0000000001,0.8032786885242588,0.7903225806448492,0.7967479674793532,0.6848739495806722,0.3076923076930473,0.6765830987844362,0.8032786885242588,0.7903225806448492,0.7967479674793532,0.6848739495795213,0.3076923076930473,0.676583098784206,[0.21848739 0.78151261],[ 52 186],0.8032786885242588,0.7903225806448492,0.7967479674793532,0.6848739495806722,0.3076923076930473,0.6765830987844362
SGD,MaxAbs,180.0000000001,40.0000000001,6.0000000001,12.0000000001,0.8181818181815289,0.9677419354833681,0.8866995073887816,0.8067226890764705,0.23076923077026626,0.7420230361800831,0.8181818181815289,0.9677419354833681,0.8866995073887816,0.8067226890751148,0.23076923077026626,0.742023036179812,[0.21848739 0.78151261],[ 52 186],0.8181818181815289,0.9677419354833681,0.8866995073887816,0.8067226890764705,0.23076923077026626,0.7420230361800831
SGD,QT,185.0000000001,45.0000000001,1.0000000001,7.0000000001,0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890764705,0.13461538461678993,0.7259465265232203,0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890751148,0.13461538461678993,0.7259465265229492,[0.21848739 0.78151261],[ 52 186],0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890764705,0.13461538461678993,0.7259465265232203
