number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
51,0.0,2025-03-18 11:38:45.639641,2025-03-18 11:39:32.119904,0 days 00:00:46.480263,60,LDA,MLP,SMOTE,QT,COMPLETE
52,0.6902857142860689,2025-03-18 11:38:47.099300,2025-03-18 11:39:22.084315,0 days 00:00:34.985015,90,ANOVA,ETs,,MaxAbs,COMPLETE
53,0.6902857142860689,2025-03-18 11:38:51.400649,2025-03-18 11:39:29.748629,0 days 00:00:38.347980,90,ANOVA,ETs,,MaxAbs,COMPLETE
54,0.7685335365578483,2025-03-18 11:39:10.006861,2025-03-18 11:39:41.072731,0 days 00:00:31.065870,10,,AB,SMOTE,QT,COMPLETE
55,0.6569969246439801,2025-03-18 11:39:10.243282,2025-03-18 11:39:55.305932,0 days 00:00:45.062650,10,,AB,SMOTE,Standard,COMPLETE
56,0.6756401931400043,2025-03-18 11:39:11.797700,2025-03-18 11:39:59.291931,0 days 00:00:47.494231,60,,MLP,SMOTE,QT,COMPLETE
57,0.7256979446726846,2025-03-18 11:39:14.657240,2025-03-18 11:39:47.465145,0 days 00:00:32.807905,10,,AB,ADASYN,MinMax,COMPLETE
58,0.7206748041494342,2025-03-18 11:39:17.077123,2025-03-18 11:39:42.522246,0 days 00:00:25.445123,10,,AB,SMOTE,MinMax,COMPLETE
59,0.34285714285724567,2025-03-18 11:39:17.863071,2025-03-18 11:40:13.141115,0 days 00:00:55.278044,30,,DT,SVMSMOTE,,COMPLETE
60,0.672682290715799,2025-03-18 11:39:20.631534,2025-03-18 11:39:59.574574,0 days 00:00:38.943040,50,PCA,AB,BorderlineSMOTE,MinMax,COMPLETE
61,0.7023403251785313,2025-03-18 11:39:20.977964,2025-03-18 11:39:51.307436,0 days 00:00:30.329472,10,,AB,ADASYN,Standard,COMPLETE
62,0.7223756216649445,2025-03-18 11:39:21.158496,2025-03-18 11:39:52.814779,0 days 00:00:31.656283,10,,AB,ADASYN,Standard,COMPLETE
63,0.7027032128765685,2025-03-18 11:39:21.524815,2025-03-18 11:39:59.025285,0 days 00:00:37.500470,10,,AB,SMOTE,Standard,COMPLETE
64,0.0,2025-03-18 11:39:22.225451,2025-03-18 11:40:11.735068,0 days 00:00:49.509617,70,Chi2,KNN,SVMSMOTE,,COMPLETE
65,0.7190097601783998,2025-03-18 11:39:23.507424,2025-03-18 11:40:01.168329,0 days 00:00:37.660905,10,,AB,SMOTE,Standard,COMPLETE
66,0.6631184595755565,2025-03-18 11:39:27.691186,2025-03-18 11:40:28.430156,0 days 00:01:00.738970,70,,KNN,SVMSMOTE,,COMPLETE
67,0.7245478373130825,2025-03-18 11:39:29.167359,2025-03-18 11:39:56.923966,0 days 00:00:27.756607,10,,AB,SMOTE,Standard,COMPLETE
68,0.7190628474760965,2025-03-18 11:39:29.575588,2025-03-18 11:40:19.884062,0 days 00:00:50.308474,70,,KNN,SMOTE,QT,COMPLETE
69,0.6971180410283359,2025-03-18 11:39:30.347136,2025-03-18 11:40:06.384551,0 days 00:00:36.037415,70,,KNN,SMOTE,Standard,COMPLETE
70,0.7212839885966877,2025-03-18 11:39:31.400390,2025-03-18 11:40:12.968176,0 days 00:00:41.567786,70,,AB,SMOTE,Standard,COMPLETE
71,0.7263165983007246,2025-03-18 11:39:32.104213,2025-03-18 11:39:55.132888,0 days 00:00:23.028675,10,,AB,SMOTE,Standard,COMPLETE
72,0.7161315299135765,2025-03-18 11:39:34.470207,2025-03-18 11:40:08.550451,0 days 00:00:34.080244,70,,KNN,SMOTE,,COMPLETE
73,0.7027032128765685,2025-03-18 11:39:34.601722,2025-03-18 11:40:11.847004,0 days 00:00:37.245282,70,,KNN,SMOTE,QT,COMPLETE
74,0.6898535356637455,2025-03-18 11:39:35.103365,2025-03-18 11:40:12.365342,0 days 00:00:37.261977,70,,KNN,SVMSMOTE,,COMPLETE
75,0.0,2025-03-18 11:39:35.365470,2025-03-18 11:40:11.988143,0 days 00:00:36.622673,70,RF,KNN,SVMSMOTE,QT,COMPLETE
76,0.7091274483706983,2025-03-18 11:39:35.590830,2025-03-18 11:40:37.777073,0 days 00:01:02.186243,30,RFE,DT,SVMSMOTE,QT,COMPLETE
77,0.7242767640720147,2025-03-18 11:39:35.763881,2025-03-18 11:40:05.996498,0 days 00:00:30.232617,10,,AB,SMOTE,Standard,COMPLETE
78,0.0,2025-03-18 11:39:37.101931,2025-03-18 11:40:20.794719,0 days 00:00:43.692788,70,Chi2,KNN,SVMSMOTE,,COMPLETE
79,0.7122595880071844,2025-03-18 11:39:37.709461,2025-03-18 11:40:57.789193,0 days 00:01:20.079732,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
80,0.7271282432426411,2025-03-18 11:39:38.812464,2025-03-18 11:40:13.893960,0 days 00:00:35.081496,70,,KNN,SMOTE,Standard,COMPLETE
81,0.7256382743561969,2025-03-18 11:39:39.868765,2025-03-18 11:40:14.549026,0 days 00:00:34.680261,70,,KNN,SMOTE,,COMPLETE
82,0.0,2025-03-18 11:39:40.272060,2025-03-18 11:40:11.000498,0 days 00:00:30.728438,70,Chi2,KNN,SMOTE,,COMPLETE
83,0.0,2025-03-18 11:39:40.476424,2025-03-18 11:40:26.435611,0 days 00:00:45.959187,100,Chi2,DT,SVMSMOTE,,COMPLETE
84,0.0,2025-03-18 11:39:41.355455,2025-03-18 11:40:21.823896,0 days 00:00:40.468441,70,Chi2,KNN,SVMSMOTE,,COMPLETE
85,0.6707644012429664,2025-03-18 11:39:41.905485,2025-03-18 11:40:27.064833,0 days 00:00:45.159348,70,,KNN,SMOTE,,COMPLETE
86,0.0,2025-03-18 11:39:42.206803,2025-03-18 11:40:45.346819,0 days 00:01:03.140016,30,Chi2,KNN,SVMSMOTE,,COMPLETE
87,0.7241844350545404,2025-03-18 11:39:42.347825,2025-03-18 11:40:48.096400,0 days 00:01:05.748575,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
88,0.0,2025-03-18 11:39:43.339390,2025-03-18 11:40:18.862160,0 days 00:00:35.522770,100,Chi2,MLP,SVMSMOTE,,COMPLETE
89,0.0,2025-03-18 11:39:44.360607,2025-03-18 11:40:24.831838,0 days 00:00:40.471231,100,Chi2,MLP,SMOTE,,COMPLETE
90,0.0,2025-03-18 11:39:44.815818,2025-03-18 11:40:45.488335,0 days 00:01:00.672517,100,MI,MLP,SMOTE,Normalizer,COMPLETE
91,0.6902857142860689,2025-03-18 11:39:45.067572,2025-03-18 11:40:36.566674,0 days 00:00:51.499102,90,ANOVA,SGD,,Normalizer,COMPLETE
92,0.6902857142860689,2025-03-18 11:39:45.531251,2025-03-18 11:40:45.205699,0 days 00:00:59.674448,90,ANOVA,SGD,,QT,COMPLETE
93,0.0,2025-03-18 11:39:45.695175,2025-03-18 11:40:26.710726,0 days 00:00:41.015551,100,RFE,MLP,SMOTE,QT,COMPLETE
94,0.0,2025-03-18 11:39:46.703877,2025-03-18 11:40:31.268070,0 days 00:00:44.564193,100,RFE,MLP,SMOTE,QT,COMPLETE
95,0.0,2025-03-18 11:39:47.166576,2025-03-18 11:40:20.684945,0 days 00:00:33.518369,100,Chi2,DT,SMOTE,,COMPLETE
96,0.0,2025-03-18 11:39:49.684875,2025-03-18 11:40:28.948816,0 days 00:00:39.263941,100,RFE,MLP,,QT,COMPLETE
97,0.6902857142860689,2025-03-18 11:39:49.982685,2025-03-18 11:40:39.271145,0 days 00:00:49.288460,90,ANOVA,SGD,,Normalizer,COMPLETE
98,0.0,2025-03-18 11:39:50.485439,2025-03-18 11:40:24.134603,0 days 00:00:33.649164,100,RFE,MLP,,QT,COMPLETE
99,0.0,2025-03-18 11:39:53.992664,2025-03-18 11:40:29.906151,0 days 00:00:35.913487,100,RFE,MLP,SMOTE,Normalizer,COMPLETE
100,0.7031637941966382,2025-03-18 11:39:54.811436,2025-03-18 11:40:41.436821,0 days 00:00:46.625385,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
101,0.0,2025-03-18 11:39:55.682919,2025-03-18 11:40:22.445941,0 days 00:00:26.763022,100,RFE,MLP,,QT,COMPLETE
102,0.7424109181513578,2025-03-18 11:39:57.909845,2025-03-18 11:40:44.938363,0 days 00:00:47.028518,90,RFE,SGD,,QT,COMPLETE
