Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,QT,ANOVA,80,169.0000000001,25.0000000001,17.0000000001,27.0000000001,0.8711340206181741,0.9086021505371951,0.8894736842101164,0.8235294117655461,0.5192307692306952,0.8023940072723453,0.8711340206181741,0.9086021505371951,0.8894736842101164,0.8235294117641622,0.5192307692306952,0.8023940072720686,[0.21848739 0.78151261],[ 52 186],0.8711340206181741,0.9086021505371951,0.8894736842101164,0.8235294117655461,0.5192307692306952,0.8023940072723453
RF,QT,ANOVA,60,175.0000000001,30.0000000001,11.0000000001,22.0000000001,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.42307692307721895,0.7880934864229154,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924364241,0.42307692307721895,0.7880934864226372,[0.21848739 0.78151261],[ 52 186],0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.423076923077219,0.7880934864229154
RF,QT,ANOVA,30,172.0000000001,29.0000000001,14.0000000001,23.0000000001,0.8557213930344719,0.9247311827952422,0.888888888888487,0.8193277310932772,0.4423076923079142,0.7861953776238784,0.8557213930344719,0.9247311827952422,0.888888888888487,0.8193277310919004,0.4423076923079142,0.786195377623603,[0.21848739 0.78151261],[ 52 186],0.8557213930344719,0.9247311827952422,0.888888888888487,0.8193277310932772,0.4423076923079142,0.7861953776238784
RF,QT,,100,176.0000000001,35.0000000001,10.0000000001,17.0000000001,0.8341232227484985,0.9462365591393052,0.886649874055026,0.8109243697487394,0.32692307692374256,0.7609714205230624,0.8341232227484985,0.9462365591393052,0.886649874055026,0.8109243697473767,0.32692307692374256,0.7609714205227898,[0.21848739 0.78151261],[ 52 186],0.8341232227484985,0.9462365591393052,0.886649874055026,0.8109243697487394,0.32692307692374256,0.7609714205230624
RF,QT,,20,171.0000000001,35.0000000001,15.0000000001,17.0000000001,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663860674,0.32692307692374256,0.7477479897977627,[0.21848739 0.78151261],[ 52 186],0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281
RF,QT,,90,175.0000000001,33.0000000001,11.0000000001,19.0000000001,0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504210083,0.36538461538513306,0.7702083815602617,0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504196385,0.36538461538513306,0.7702083815599878,[0.21848739 0.78151261],[ 52 186],0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504210083,0.36538461538513306,0.7702083815602617
RF,QT,,10,178.0000000001,30.0000000001,8.0000000001,22.0000000001,0.8557692307688888,0.9569892473113366,0.9035532994919763,0.8403361344546217,0.42307692307721895,0.7959449670208085,0.8557692307688888,0.9569892473113366,0.9035532994919763,0.8403361344532095,0.42307692307721895,0.7959449670205261,[0.21848739 0.78151261],[ 52 186],0.8557692307688888,0.9569892473113366,0.9035532994919763,0.8403361344546217,0.423076923077219,0.7959449670208085
RF,QT,,50,168.0000000001,31.0000000001,18.0000000001,21.0000000001,0.8442211055272922,0.9032258064511793,0.8727272727268856,0.7941176470596638,0.40384615384652367,0.7636275971223089,0.8442211055272922,0.9032258064511793,0.8727272727268856,0.7941176470583293,0.40384615384652367,0.7636275971220421,[0.21848739 0.78151261],[ 52 186],0.8442211055272922,0.9032258064511793,0.8727272727268856,0.7941176470596638,0.40384615384652367,0.7636275971223089
RF,QT,,40,172.0000000001,32.0000000001,14.0000000001,20.0000000001,0.8431372549016244,0.9247311827952422,0.8820512820508901,0.8067226890764705,0.38461538461582834,0.7682515586880111,0.8431372549016244,0.9247311827952422,0.8820512820508901,0.8067226890751148,0.38461538461582834,0.7682515586877401,[0.21848739 0.78151261],[ 52 186],0.8431372549016245,0.9247311827952422,0.8820512820508902,0.8067226890764705,0.38461538461582834,0.7682515586880111
RF,QT,,70,179.0000000001,26.0000000001,7.0000000001,26.0000000001,0.873170731706953,0.9623655913973523,0.9156010230174776,0.8613445378159663,0.5,0.8224963767875497,0.873170731706953,0.9623655913973523,0.9156010230174776,0.8613445378145188,0.5,0.8224963767872604,[0.21848739 0.78151261],[ 52 186],0.873170731706953,0.9623655913973523,0.9156010230174776,0.8613445378159663,0.5,0.8224963767875497
