number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
52,0.8035230578269331,2025-03-18 12:24:25.312479,2025-03-18 12:25:20.126250,0 days 00:00:54.813771,60,,ETs,BorderlineSMOTE,Standard,COMPLETE
53,0.0,2025-03-18 12:24:25.657841,2025-03-18 12:25:10.297745,0 days 00:00:44.639904,80,Chi2,ETs,SVMSMOTE,MaxAbs,COMPLETE
54,0.7848234393479918,2025-03-18 12:24:53.766812,2025-03-18 12:25:25.293751,0 days 00:00:31.526939,100,,ETs,BorderlineSMOTE,Robust,COMPLETE
55,0.8135956352845746,2025-03-18 12:25:05.032664,2025-03-18 12:25:35.802521,0 days 00:00:30.769857,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
56,0.817572738008048,2025-03-18 12:25:12.831371,2025-03-18 12:26:19.647868,0 days 00:01:06.816497,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
57,0.779221092916706,2025-03-18 12:25:16.742627,2025-03-18 12:26:07.163318,0 days 00:00:50.420691,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
58,0.7809735787286958,2025-03-18 12:25:17.905273,2025-03-18 12:26:23.074528,0 days 00:01:05.169255,40,ANOVA,ETs,BorderlineSMOTE,Standard,COMPLETE
59,0.6924350649350737,2025-03-18 12:25:18.376297,2025-03-18 12:26:29.893312,0 days 00:01:11.517015,60,PCA,DT,SMOTE,Standard,COMPLETE
60,0.777277793991223,2025-03-18 12:25:18.665708,2025-03-18 12:25:47.412362,0 days 00:00:28.746654,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
61,0.795924696402128,2025-03-18 12:25:18.822575,2025-03-18 12:25:54.357354,0 days 00:00:35.534779,40,,ETs,SMOTE,Standard,COMPLETE
62,0.7496284762835288,2025-03-18 12:25:18.979771,2025-03-18 12:26:58.240843,0 days 00:01:39.261072,60,PCA,RF,SMOTE,Standard,COMPLETE
63,0.7724921097420419,2025-03-18 12:25:19.155282,2025-03-18 12:26:25.587296,0 days 00:01:06.432014,60,ANOVA,ETs,BorderlineSMOTE,Standard,COMPLETE
64,0.8062073090997538,2025-03-18 12:25:19.419309,2025-03-18 12:25:53.808208,0 days 00:00:34.388899,40,,ETs,SMOTE,Standard,COMPLETE
65,0.828414099470048,2025-03-18 12:25:19.560986,2025-03-18 12:26:10.619903,0 days 00:00:51.058917,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
66,0.821121331424993,2025-03-18 12:25:19.733523,2025-03-18 12:26:03.855252,0 days 00:00:44.121729,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
67,0.7855923332770851,2025-03-18 12:25:19.906497,2025-03-18 12:26:08.074565,0 days 00:00:48.168068,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
68,0.7286588319654864,2025-03-18 12:25:21.885727,2025-03-18 12:26:37.850866,0 days 00:01:15.965139,60,PCA,DT,SMOTE,Standard,COMPLETE
69,0.7716312951315296,2025-03-18 12:25:22.278370,2025-03-18 12:25:57.015573,0 days 00:00:34.737203,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
70,0.7197546841702296,2025-03-18 12:25:22.450831,2025-03-18 12:26:55.539517,0 days 00:01:33.088686,60,PCA,DT,SMOTE,Standard,COMPLETE
71,0.7848234393479918,2025-03-18 12:25:22.702506,2025-03-18 12:25:43.696259,0 days 00:00:20.993753,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
72,0.8024322563534219,2025-03-18 12:25:22.866272,2025-03-18 12:25:51.483706,0 days 00:00:28.617434,40,,ETs,SMOTE,Standard,COMPLETE
