number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
92,0.6620114839295395,2025-03-18 11:27:22.471611,2025-03-18 11:28:02.706313,0 days 00:00:40.234702,80,Chi2,KNN,ADASYN,QT,COMPLETE
93,0.6798706703691473,2025-03-18 11:27:30.406787,2025-03-18 11:28:14.378414,0 days 00:00:43.971627,90,PCA,KNN,,QT,COMPLETE
94,0.6828110974336358,2025-03-18 11:27:32.022689,2025-03-18 11:27:58.311474,0 days 00:00:26.288785,90,Chi2,KNN,SMOTE,QT,COMPLETE
95,0.6880767401303409,2025-03-18 11:27:36.881495,2025-03-18 11:28:04.011656,0 days 00:00:27.130161,90,PCA,KNN,,QT,COMPLETE
96,0.0,2025-03-18 11:27:39.131367,2025-03-18 11:28:08.210696,0 days 00:00:29.079329,100,PCA,AB,,QT,COMPLETE
97,0.6880767401303409,2025-03-18 11:27:39.671804,2025-03-18 11:28:33.530387,0 days 00:00:53.858583,20,ANOVA,DT,,Standard,COMPLETE
98,0.6880767401303409,2025-03-18 11:27:42.366468,2025-03-18 11:28:13.998733,0 days 00:00:31.632265,90,PCA,AB,,QT,COMPLETE
99,0.58152090194836,2025-03-18 11:27:42.741560,2025-03-18 11:28:37.189455,0 days 00:00:54.447895,20,MI,ETs,BorderlineSMOTE,Normalizer,COMPLETE
100,0.6880767401303409,2025-03-18 11:27:45.881462,2025-03-18 11:28:33.865428,0 days 00:00:47.983966,20,ANOVA,DT,,Standard,COMPLETE
101,0.0,2025-03-18 11:27:46.916531,2025-03-18 11:28:09.034170,0 days 00:00:22.117639,100,PCA,AB,,QT,COMPLETE
102,0.0,2025-03-18 11:27:47.193343,2025-03-18 11:28:22.297668,0 days 00:00:35.104325,100,PCA,AB,,QT,COMPLETE
103,0.6880767401303409,2025-03-18 11:27:47.691623,2025-03-18 11:28:37.588127,0 days 00:00:49.896504,20,ANOVA,DT,,Standard,COMPLETE
104,0.0,2025-03-18 11:27:48.513327,2025-03-18 11:28:12.194913,0 days 00:00:23.681586,100,ANOVA,AB,,QT,COMPLETE
105,0.0,2025-03-18 11:27:50.721714,2025-03-18 11:28:53.551770,0 days 00:01:02.830056,60,LDA,DT,,,COMPLETE
106,0.6880767401303409,2025-03-18 11:27:51.201702,2025-03-18 11:28:14.724031,0 days 00:00:23.522329,20,ANOVA,DT,,MaxAbs,COMPLETE
