number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
1114,0.7645161287856399,2024-07-08 12:45:27.780123,2024-07-08 12:45:54.647163,0 days 00:00:26.867040,BaggingClassifier,Normalize_L1_1,,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1115,0.745161290082206,2024-07-08 12:45:27.903137,2024-07-08 12:46:02.840212,0 days 00:00:34.937075,BaggingClassifier,Normalize_L2_1,,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","{'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1116,0.6516129030156087,2024-07-08 12:45:27.970140,2024-07-08 12:45:58.737226,0 days 00:00:30.767086,BaggingClassifier,MaxAbsScaler,,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1117,0.7677419352362123,2024-07-08 12:45:28.472121,2024-07-08 12:45:34.150174,0 days 00:00:05.678053,XGBClassifier,Normalize_L1_1,,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1]","{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
1118,0.6935483868730489,2024-07-08 12:45:28.590135,2024-07-08 12:45:55.787228,0 days 00:00:27.197093,BaggingClassifier,MaxAbsScaler,,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1119,0.7999999997419355,2024-07-08 12:45:28.783122,2024-07-08 12:45:55.431211,0 days 00:00:26.648089,BaggingClassifier,Normalize_L1_1,,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1120,0.7967741932913631,2024-07-08 12:45:29.282124,2024-07-08 12:45:56.395212,0 days 00:00:27.113088,BaggingClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","{'n_estimators': 200, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1121,0.6290322578616024,2024-07-08 12:45:29.434126,2024-07-08 12:46:07.851211,0 days 00:00:38.417085,BaggingClassifier,MaxAbsScaler,,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1122,0.7741935481373569,2024-07-08 12:45:29.472137,2024-07-08 12:45:57.182212,0 days 00:00:27.710075,BaggingClassifier,Normalize_L1_1,,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1123,0.7774193545879292,2024-07-08 12:45:29.514136,2024-07-08 12:45:54.157164,0 days 00:00:24.643028,BaggingClassifier,MaxAbsScaler,,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1124,0.7903225803902184,2024-07-08 12:45:29.774123,2024-07-08 12:46:04.592227,0 days 00:00:34.818104,BaggingClassifier,Normalize_L2_1,,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1125,0.6290322578616024,2024-07-08 12:45:30.214122,2024-07-08 12:47:23.169847,0 days 00:01:52.955725,BaggingClassifier,MaxAbsScaler,,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1126,0.7935483868407908,2024-07-08 12:45:30.373137,2024-07-08 12:45:54.730171,0 days 00:00:24.357034,BaggingClassifier,MaxAbsScaler,,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","{'n_estimators': 1000, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1127,0.7774193545879292,2024-07-08 12:45:31.225179,2024-07-08 12:45:56.287213,0 days 00:00:25.062034,BaggingClassifier,MaxAbsScaler,,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1128,0.7870967739396462,2024-07-08 12:45:31.398162,2024-07-08 12:45:58.746228,0 days 00:00:27.348066,BaggingClassifier,MaxAbsScaler,,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0]","{'n_estimators': 1000, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1129,0.7774193545879292,2024-07-08 12:45:31.452178,2024-07-08 12:46:07.852213,0 days 00:00:36.400035,BaggingClassifier,Normalize_L2_1,,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1130,0.3548387095629552,2024-07-08 12:45:31.608160,2024-07-08 12:46:00.152186,0 days 00:00:28.544026,BaggingClassifier,Normalize_L2_1,SVMSMOTE,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1131,0.7999999997419355,2024-07-08 12:45:32.045190,2024-07-08 12:46:00.002193,0 days 00:00:27.957003,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1132,0.7999999997419355,2024-07-08 12:45:32.237188,2024-07-08 12:45:57.431210,0 days 00:00:25.194022,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","{'n_estimators': 200, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1133,0.7935483868407908,2024-07-08 12:45:32.847166,2024-07-08 12:46:11.409227,0 days 00:00:38.562061,XGBClassifier,Normalize_L2_1,,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",COMPLETE
1134,0.7645161287856399,2024-07-08 12:45:32.894174,2024-07-08 12:46:27.179289,0 days 00:00:54.285115,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]","{'n_estimators': 500, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1135,0.8032258061925077,2024-07-08 12:45:33.034167,2024-07-08 12:47:07.662848,0 days 00:01:34.628681,BaggingClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]","{'n_estimators': 200, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1136,0.7709677416867845,2024-07-08 12:45:33.464178,2024-07-08 12:46:18.817296,0 days 00:00:45.353118,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 10, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1137,0.745161290082206,2024-07-08 12:45:33.565164,2024-07-08 12:47:09.634850,0 days 00:01:36.069686,BaggingClassifier,Normalize_L2_1,,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1138,0.4612903224318418,2024-07-08 12:45:34.004179,2024-07-08 12:46:38.371282,0 days 00:01:04.367103,BaggingClassifier,Normalize_L1_1,SMOTEENN,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1139,0.7645161287856399,2024-07-08 12:45:34.765166,2024-07-08 12:46:29.707296,0 days 00:00:54.942130,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1140,0.745161290082206,2024-07-08 12:45:45.175171,2024-07-08 12:46:04.211230,0 days 00:00:19.036059,BaggingClassifier,Normalize_L2_1,,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","{'n_estimators': 50, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1141,0.7709677416867845,2024-07-08 12:45:49.700163,2024-07-08 12:46:29.531298,0 days 00:00:39.831135,BaggingClassifier,Normalize_L2_1,,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1142,0.5290322578938605,2024-07-08 12:45:50.407179,2024-07-08 12:46:03.914212,0 days 00:00:13.507033,BaggingClassifier,Normalize_L2_1,SVMSMOTE,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1143,0.7612903223350675,2024-07-08 12:45:50.636194,2024-07-08 12:46:54.662297,0 days 00:01:04.026103,BaggingClassifier,Normalize_L1_1,,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1144,0.7774193545879292,2024-07-08 12:45:51.392166,2024-07-08 12:46:39.106284,0 days 00:00:47.714118,BaggingClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1145,0.44193548372840785,2024-07-08 12:45:51.582177,2024-07-08 12:46:29.612297,0 days 00:00:38.030120,BaggingClassifier,Normalize_L1_1,SMOTE,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1146,0.3516129031123829,2024-07-08 12:45:51.663193,2024-07-08 12:46:03.866214,0 days 00:00:12.203021,BaggingClassifier,Normalize_L2_1,SVMSMOTE,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1]","{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1147,0.42258064502497394,2024-07-08 12:45:52.858162,2024-07-08 12:46:23.961282,0 days 00:00:31.103120,BaggingClassifier,Normalize_L2_1,SVMSMOTE,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1148,0.7774193545879292,2024-07-08 12:45:52.871165,2024-07-08 12:46:30.028296,0 days 00:00:37.157131,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]","{'n_estimators': 10, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1149,0.5032258062892819,2024-07-08 12:45:53.402183,2024-07-08 12:46:26.574284,0 days 00:00:33.172101,BaggingClassifier,Normalize_L1_1,SMOTEENN,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1150,0.7935483868407908,2024-07-08 12:45:54.239180,2024-07-08 12:46:07.668229,0 days 00:00:13.429049,BaggingClassifier,Normalize_L2_1,,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1151,0.7999999997419355,2024-07-08 12:45:54.798213,2024-07-08 12:46:35.220295,0 days 00:00:40.422082,BaggingClassifier,Normalize_L1_1,,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1152,0.745161290082206,2024-07-08 12:45:55.354183,2024-07-08 12:46:40.679286,0 days 00:00:45.325103,BaggingClassifier,Normalize_L2_1,,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1153,0.564516128850156,2024-07-08 12:45:56.104184,2024-07-08 12:46:44.623297,0 days 00:00:48.519113,BaggingClassifier,Normalize_L1_1,SMOTE,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1154,0.7645161287856399,2024-07-08 12:45:56.532211,2024-07-08 12:46:44.130295,0 days 00:00:47.598084,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1155,0.7677419352362123,2024-07-08 12:45:56.670226,2024-07-08 12:46:39.546298,0 days 00:00:42.876072,BaggingClassifier,Normalize_L1_1,,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1156,0.7612903223350675,2024-07-08 12:45:56.862219,2024-07-08 12:46:39.553297,0 days 00:00:42.691078,BaggingClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]","{'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1157,0.7612903223350675,2024-07-08 12:45:57.083226,2024-07-08 12:46:14.177219,0 days 00:00:17.093993,BaggingClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1158,0.5064516127398543,2024-07-08 12:45:57.176227,2024-07-08 12:46:39.717300,0 days 00:00:42.541073,BaggingClassifier,Normalize_L1_1,SMOTEENN,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","{'n_estimators': 500, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
1159,0.7967741932913631,2024-07-08 12:45:57.652215,2024-07-08 12:46:29.942282,0 days 00:00:32.290067,BaggingClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1]","{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1160,0.7645161287856399,2024-07-08 12:45:57.976228,2024-07-08 12:46:12.734226,0 days 00:00:14.757998,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]","{'n_estimators': 10, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
