number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
27,0.3677419353652445,2024-07-08 12:33:47.038882,2024-07-08 12:33:59.758924,0 days 00:00:12.720042,SVC,MaxAbsScaler,SVMSMOTE,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","{'C': 1.0, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'scale', 'coef0': 0.1, 'shrinking': False, 'probability': True, 'class_weight': None, 'decision_function_shape': 'ovr'}",COMPLETE
28,0.7967741932913631,2024-07-08 12:33:47.075911,2024-07-08 12:34:52.260580,0 days 00:01:05.184669,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 100, 'min_samples_leaf': 5, 'bootstrap': True}",COMPLETE
29,0.554838709498439,2024-07-08 12:33:47.106910,2024-07-08 12:36:07.125350,0 days 00:02:20.018440,RandomForestClassifier,MaxAbsScaler,BorderlineSMOTE,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]","{'n_estimators': 2000, 'max_features': None, 'max_depth': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
30,0.7774193545879292,2024-07-08 12:33:47.160923,2024-07-08 12:34:11.354121,0 days 00:00:24.193198,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
31,0.0,2024-07-08 12:33:47.211921,2024-07-08 12:34:05.124949,0 days 00:00:17.913028,MLPClassifier,,,,,COMPLETE
32,0.4161290321238293,2024-07-08 12:33:47.212935,2024-07-08 12:34:06.054096,0 days 00:00:18.841161,RandomForestClassifier,RobustScaler,NearMiss,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]","{'n_estimators': 50, 'max_features': None, 'max_depth': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
33,0.6032258062570239,2024-07-08 12:33:47.371892,2024-07-08 12:34:58.278575,0 days 00:01:10.906683,GradientBoostingClassifier,Normalize_L2_0,SMOTE,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]","{'n_estimators': 500, 'learning_rate': 1.0, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 1, 'subsample': 0.7, 'max_features': None}",COMPLETE
34,0.5774193546524453,2024-07-08 12:33:47.405882,2024-07-08 12:34:02.519883,0 days 00:00:15.114001,KNeighborsClassifier,Normalize_Max_0,SMOTETomek,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]","{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 30, 'p': 2, 'metric': 'euclidean'}",COMPLETE
35,0.22580645154006243,2024-07-08 12:33:47.455908,2024-07-08 12:34:02.860939,0 days 00:00:15.405031,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","{'n_estimators': 200, 'max_features': None, 'max_depth': 100, 'min_samples_split': 200, 'min_samples_leaf': 2, 'bootstrap': False}",COMPLETE
36,0.0,2024-07-08 12:33:47.490912,2024-07-08 12:34:16.176118,0 days 00:00:28.685206,BaggingClassifier,Normalize_L1_0,KMeansSMOTE,,"{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
37,0.0,2024-07-08 12:33:47.519888,2024-07-08 12:34:05.772060,0 days 00:00:18.252172,MLPClassifier,,,,,COMPLETE
38,0.5161290320915712,2024-07-08 12:33:47.628886,2024-07-08 12:34:14.312120,0 days 00:00:26.683234,BaggingClassifier,MinMaxScaler,ADASYN,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
39,0.7225806449281997,2024-07-08 12:33:47.689924,2024-07-08 12:34:53.108577,0 days 00:01:05.418653,BaggingClassifier,Normalize_L1_0,BorderlineSMOTE,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
40,0.6548387094661811,2024-07-08 12:33:47.754928,2024-07-08 12:34:10.551122,0 days 00:00:22.796194,KNeighborsClassifier,Normalize_L2_1,TomekLinks,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 20, 'p': 1, 'metric': 'manhattan'}",COMPLETE
41,0.7290322578293443,2024-07-08 12:33:47.806884,2024-07-08 12:34:06.137032,0 days 00:00:18.330148,KNeighborsClassifier,Normalize_L1_1,TomekLinks,"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]","{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 30, 'p': 1, 'metric': 'manhattan'}",COMPLETE
42,0.5064516127398543,2024-07-08 12:33:47.854909,2024-07-08 12:34:51.459578,0 days 00:01:03.604669,AdaBoostClassifier,Normalize_Max_0,RandomOverSampler,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1]","{'n_estimators': 10, 'learning_rate': 1.0, 'algorithm': 'SAMME'}",COMPLETE
43,0.6387096772133194,2024-07-08 12:33:47.908909,2024-07-08 12:34:06.400123,0 days 00:00:18.491214,KNeighborsClassifier,MinMaxScaler,TomekLinks,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]","{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 50, 'p': 1, 'metric': 'minkowski'}",COMPLETE
44,0.4774193546847034,2024-07-08 12:33:47.950891,2024-07-08 12:34:02.908892,0 days 00:00:14.958001,DecisionTreeClassifier,MinMaxScaler,SMOTETomek,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]","{'max_depth': 1000, 'min_samples_split': 200, 'min_samples_leaf': 100, 'max_features': None, 'splitter': 'best'}",COMPLETE
45,0.7806451610385015,2024-07-08 12:33:48.004930,2024-07-08 12:34:14.307121,0 days 00:00:26.302191,KNeighborsClassifier,Normalize_L1_1,TomekLinks,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0]","{'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 30, 'p': 2, 'metric': 'minkowski'}",COMPLETE
46,0.0,2024-07-08 12:33:48.056895,2024-07-08 12:33:59.503885,0 days 00:00:11.446990,MLPClassifier,,,,,COMPLETE
47,0.7870967739396462,2024-07-08 12:33:48.107910,2024-07-08 12:34:08.175122,0 days 00:00:20.067212,KNeighborsClassifier,Normalize_L1_0,TomekLinks,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","{'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 10, 'p': 2, 'metric': 'minkowski'}",COMPLETE
48,0.7483870965327784,2024-07-08 12:33:48.156891,2024-07-08 12:34:11.554122,0 days 00:00:23.397231,KNeighborsClassifier,Normalize_L1_1,TomekLinks,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 50, 'p': 1, 'metric': 'euclidean'}",COMPLETE
49,0.22580645154006243,2024-07-08 12:33:48.205924,2024-07-08 12:34:51.673577,0 days 00:01:03.467653,ExtraTreesClassifier,Normalize_L1_0,RandomOverSampler,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]","{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'min_samples_split': 100, 'min_samples_leaf': 50, 'bootstrap': False}",COMPLETE
