Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,TP,TN,FP,FN,Model,FS-Percentage,FS-Technique
,0.14687065240424924,,0.17868852459016393,0.9158942146675934,0.17868852459016393,0.17868852459016393,0.1786885245901639,0.17868852459016393,0.9178688524590164,,0.17868852459016393,,0.17868852459016393,0.8961478367533627,[ 0 67  0  0 33  5  3  0  0  0  1],[536 120 536 541 500 538 527 582 589 589 541],[  5 421   6   0  45   7  17   0   0   0   0],[69  2 68 69 32 60 63 28 21 21 68],MLPClassifier,80,mutual_info_classif
,0.15549812506334246,,0.1885245901639344,0.9182787234671047,0.1885245901639344,0.1885245901639344,0.1885245901639344,0.1885245901639344,0.9188524590163935,,0.1885245901639344,,0.1885245901639344,0.9125413679742183,[ 0  3  0  0  0 41 11  0  0  0 60],[539 508 542 536 541 495 515 572 503 584 270],[  2  33   0   5   4  50  29  10  86   5 271],[69 66 68 69 65 24 55 28 21 21  9],MLPClassifier,85,mutual_info_classif
,0.15107184917694103,,0.1819672131147541,0.9163490771124585,0.1819672131147541,0.1819672131147541,0.1819672131147541,0.1819672131147541,0.9181967213114755,,0.1819672131147541,,0.1819672131147541,0.89787263512229,[ 0  3 63  0  1 42  2  0  0  0  0],[541 526 113 541 543 493 543 582 589 589 541],[  0  15 429   0   2  52   1   0   0   0   0],[69 66  5 69 64 23 64 28 21 21 69],MLPClassifier,90,mutual_info_classif
,0.15244755244755245,,0.18524590163934426,0.916561089879274,0.18524590163934426,0.18524590163934426,0.18524590163934426,0.18524590163934426,0.9185245901639344,,0.18524590163934423,,0.18524590163934426,0.8969260870326698,[10  0  0 57  1 43  0  0  0  0  2],[458 541 542 224 540 488 544 582 589 589 506],[ 83   0   0 317   5  57   0   0   0   0  35],[59 69 68 12 64 22 66 28 21 21 67],MLPClassifier,95,mutual_info_classif
,0.1747511381898734,,0.19836065573770492,0.9204182661633432,0.19836065573770492,0.19836065573770492,0.19836065573770492,0.19836065573770492,0.9198360655737705,,0.19836065573770492,,0.19836065573770492,0.9262402720590717,[ 0  1  0  0 38  7 34  5  0  0 36],[531 514 539 540 502 537 473 380 589 584 422],[ 10  27   3   1  43   8  71 202   0   5 119],[69 68 68 69 27 58 32 23 21 21 33],MLPClassifier,100,mutual_info_classif
,0.20421249679561704,,0.24754098360655738,0.9231809418635457,0.24754098360655738,0.24754098360655738,0.24754098360655738,0.24754098360655738,0.9247540983606557,,0.24754098360655738,,0.24754098360655738,0.9074493768924452,[64  0  4  3  0 64  0  0  0  0 16],[420 541 518 516 545 299 544 582 589 589 498],[121   0  24  25   0 246   0   0   0   0  43],[ 5 69 64 66 65  1 66 28 21 21 53],AdaBoostClassifier,5,f_classif
,0.18595896856766422,,0.21639344262295082,0.9198980221838094,0.21639344262295082,0.21639344262295082,0.21639344262295082,0.21639344262295082,0.9216393442622951,,0.21639344262295082,,0.21639344262295082,0.9024848013989535,[64  0  0 64  0  0  0  0  0  4  0],[440 541 537 185 545 545 544 582 589 573 541],[101   0   5 356   0   0   0   0   0  16   0],[ 5 69 68  5 65 65 66 28 21 17 69],AdaBoostClassifier,10,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,15,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,20,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,25,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,30,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,35,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,40,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,45,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,50,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,55,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,60,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,65,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,70,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,75,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,80,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,85,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,90,f_classif
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,95,f_classif
,0.2484604483325711,,0.25081967213114753,0.9239556246035704,0.25081967213114753,0.25081967213114753,0.25081967213114753,0.25081967213114753,0.9250819672131148,,0.25081967213114753,,0.25081967213114753,0.9126921985081268,[68  0  3  0 28 26  0 22  0  0  6],[268 541 539 541 504 507 544 527 589 589 494],[273   0   3   0  41  38   0  55   0   0  47],[ 1 69 65 69 37 39 66  6 21 21 63],AdaBoostClassifier,100,f_classif
,0.20421249679561704,,0.24754098360655738,0.9231809418635457,0.24754098360655738,0.24754098360655738,0.24754098360655738,0.24754098360655738,0.9247540983606557,,0.24754098360655738,,0.24754098360655738,0.9074493768924452,[64  0  4  3  0 64  0  0  0  0 16],[420 541 518 516 545 299 544 582 589 589 498],[121   0  24  25   0 246   0   0   0   0  43],[ 5 69 64 66 65  1 66 28 21 21 53],AdaBoostClassifier,5,chi2
,0.18595896856766422,,0.21639344262295082,0.9198980221838094,0.21639344262295082,0.21639344262295082,0.21639344262295082,0.21639344262295082,0.9216393442622951,,0.21639344262295082,,0.21639344262295082,0.9024848013989535,[64  0  0 64  0  0  0  0  0  4  0],[440 541 537 185 545 545 544 582 589 573 541],[101   0   5 356   0   0   0   0   0  16   0],[ 5 69 68  5 65 65 66 28 21 17 69],AdaBoostClassifier,10,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,15,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,20,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,25,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,30,chi2
